Name,Email,Phone,Gender,County,Household_Size,Residence_Category,Cylinder_Size,Delivery_Time,Other_Fuel_Usage,Average_Usage_Days,Usage_Segment
John Kibet,john.kibet74@gmail,254755597971,Female,Kisumu,5,Business,13kg,Morning,Charcoal,91,Low Users
Ruth Maina,ruth.maina44@gmail,254764054405,Male,Nyamira,10,Business,50kg,Evening,Electricity,60,Regular Users
Michael Muriuki,michael.muriuki44gmail.com,254752399481,Male,Kakamega,8,Bedsitter,13kg,Evening,Electricity,115,Low Users
James Otieno,james.otieno40gmail.com,254780461900,Male,Isiolo,8,Bedsitter,50kg,Evening,Firewood,132,At-Risk
Peter Karanja,"peter.karanja81@gmail.com,",254793478337,Male,Kajiado,5,Business,13kg,Afternoon,Firewood,73,Regular Users
Peter Kimani,peter.kimani8@@gmail.com,254759499657,Male,Narok,3,Bedsitter,50kg,Evening,None,112,Low Users
Paul Kimani,paul.kimani65gmail.com,254745998920,Female,Nyamira,2,House,13kg,Evening,Firewood,30,Heavy Users
James Achieng,"james.achieng3@gmail.com,",254746335356,Female,Nakuru,5,Business,13kg,Evening,Electricity,28,Heavy Users
Daniel Kimani,"daniel.kimani15@gmail.com,",254717286023,Female,Kajiado,3,Apartment,13kg,Afternoon,None,139,At-Risk
Esther Karanja,esther.karanja5gmail.com,254756243813,Male,West Pokot,3,Business,13kg,Afternoon,Charcoal,134,At-Risk
Susan Mugo,susan.mugo13@gmail,254781296700,Female,Kilifi,10,Apartment,13kg,Evening,Charcoal,57,Regular Users
Lilian Otieno,lilian.otieno14@gmail,254707933122,Male,Kisumu,1,Business,13kg,Evening,Charcoal,27,Heavy Users
Susan Kuria,"susan.kuria46@gmail.com,",254795431819,Male,Kajiado,7,Apartment,Other,Morning,Electricity,25,Heavy Users
Esther Kuria,esther.kuria10@gmail,254771192377,Male,Busia,4,Apartment,50kg,Afternoon,Firewood,144,At-Risk
Peter Muriuki,peter.muriuki89gmail.com,254761211083,Female,Nairobi,2,Business,13kg,Afternoon,Charcoal,88,Regular Users
Susan Muriuki,"susan.muriuki31@gmail.com,",254724116130,Female,Wajir,6,Apartment,50kg,Evening,Charcoal,95,Low Users
Daniel Muriuki,"daniel.muriuki80@gmail.com,",254748277523,Male,Kisii,10,Apartment,13kg,Morning,None,28,Heavy Users
David Kimani,david.kimani86gmail.com,254718092087,Female,Kiambu,10,Bedsitter,13kg,Morning,Firewood,130,At-Risk
Esther Mugo,esther.mugo33gmail.com,254777613251,Female,Nyeri,8,House,Other,Afternoon,Electricity,58,Regular Users
