Name,Email,Phone,Gender,County,Household_Size,Residence_Category,Cylinder_Size,Delivery_Time,Other_Fuel_Usage,Average_Usage_Days,Usage_Segment
Daniel Omondi,daniel.omondi51@gmail.com,254701815908,Male,Meru,2,Business,13kg,Morning,Charcoal,122,At-Risk
Robert Njoroge,robert.njoroge29@gmail.com,254790996030,Male,Elgeyo Marakwet,3,Bedsitter,13kg,Evening,Charcoal,112,Low Users
Lilian Mutua,lilian.mutua48@gmail.com,254718190937,Male,Kajiado,7,Bedsitter,13kg,Afternoon,Charcoal,34,Heavy Users
Esther Kimani,esther.kimani74@gmail.com,254748757491,Male,Garissa,7,House,13kg,Morning,None,126,At-Risk
John Kibet,john.kibet74@gmail,254755597971,Female,Kisumu,5,Business,13kg,Morning,Charcoal,91,Low Users
Robert Mugo,robert.mugo37@gmail.com,254765075291,Male,Samburu,4,Bedsitter,6kg,Morning,Charcoal,40,Heavy Users
Grace Mugo,grace.mugo52@gmail.com,254784268465,Male,Kajiado,7,House,13kg,Morning,Charcoal,122,At-Risk
James Cheruiyot,james.cheruiyot76@gmail.com,254724402685,Male,Laikipia,6,House,13kg,Evening,None,141,At-Risk
Joseph Kibet,joseph.kibet51@gmail.com,254766617603,Male,Tana River,4,Business,13kg,Afternoon,Electricity,94,Low Users
Robert Omondi,robert.omondi69@gmail.com,254715901396,Female,Wajir,5,Bedsitter,13kg,Afternoon,Charcoal,107,Low Users
Agnes Cheruiyot,agnes.cheruiyot40@gmail.com,254712154728,Female,Kwale,9,Bedsitter,6kg,Evening,None,136,At-Risk
John Achieng,john.achieng67@gmail.com,254752538885,Male,Nakuru,10,House,50kg,Afternoon,Electricity,119,Low Users
Mark Cheruiyot,mark.cheruiyot46@gmail.com,254700474395,Female,Turkana,6,Bedsitter,6kg,Morning,Charcoal,123,At-Risk
David Cheruiyot,david.cheruiyot80@gmail.com,254790751163,Female,West Pokot,3,Business,13kg,Afternoon,Charcoal,72,Regular Users
Joseph Karanja,joseph.karanja96@gmail.com,254712220297,Male,Busia,3,Business,13kg,Afternoon,Charcoal,21,Heavy Users
James Otieno,james.otieno93@gmail.com,254718263304,Male,Meru,9,House,13kg,Afternoon,Charcoal,107,Low Users
Mary Onyango,mary.onyango59@gmail.com,254798682828,Male,Trans Nzoia,8,House,13kg,Morning,Charcoal,57,Regular Users
Susan Mwangi,susan.mwangi42@gmail.com,254788871803,Female,Marsabit,1,Apartment,13kg,Evening,Charcoal,149,At-Risk
Daniel Ngugi,daniel.ngugi78@gmail.com,254783478878,Female,Nairobi,9,Bedsitter,Other,Morning,Kerosene,40,Heavy Users
Lilian Karanja,lilian.karanja57@gmail.com,254751361341,Male,Kisii,3,Bedsitter,6kg,Morning,None,77,Regular Users
